Nombre;Ciudad;Nombre;Email;Web;Url;
Fisioterapia Millán;;;info@fisioterapiamillan.com;http://www.fisioterapiamillan.com;https://www.facebook.com/FisioterapiaMillan/;
Igor Sancho Fisiotherapy;;Igor;info@fisioigorsancho.com;http://www.fisioigorsancho.com;https://www.facebook.com/Igor-Sancho-Fisiotherapy-251869991533509/;
Miren Altuna Fisioterapia;;Miren;info@fisioterapia.eus;https://www.fisioterapia.eus;https://www.facebook.com/mirenaltunafisioterapia/;
Matia Fundazioa;;;info@matiafundazioa.net;http://www.matiafundazioa.eus;https://www.facebook.com/MatiaFundazioa/;
Joseba Manso Fisioterapia-Osteopatía;;Joseba;josebamanso@hotmail.com;http://www.josebamanso.com;https://www.facebook.com/josebamansofisioterapia/;
ONDU fisioterapia;;;ondufisioterapia@gmail.com;http://www.ondufisioterapia.com;https://www.facebook.com/ondufisioterapia/;
Fisioterapia Gros;;;info@fisiogros.com;http://www.fisiogros.com;https://www.facebook.com/FisioGros/;
Sergio Sukunza Sana tu hernia;;Sergio;info@ssukunza.com;https://www.ssukunza.com;https://www.facebook.com/sanatuherniadiscal/;
Arindu Fisioterapia Osteopatía;;;info@arindufisioterapia.com;http://www.arindufisioterapia.com;https://www.facebook.com/arindufisioterapia/;
Sinergia Fisioterapia;;;info@sinergiafisioterapia.com;http://www.sinergiafisioterapia.com;https://www.facebook.com/SinergiaFisioterapiaorio/;
Arinduz . Fisioterapia Osteopatia;;;;;https://www.facebook.com/arinduzlaida/;
Fisioterapia y Pilates terapéutico Sara Cossio;;Sara;sarafisiopilates@hotmail.es;http://www.saracossio.com;https://www.facebook.com/sara.cossio.fisioterapia/;
Egfisios;;;info@egfisios.com;http://www.egfisios.com;https://www.facebook.com/ibonegfisios/;
Fisioterapia y osteopatia Joseba López;;Joseba;joseba.lopez.zorzano@gmail.com;;https://www.facebook.com/FisioterapiaYOsteopatiaJoseba/;
Fisioterapia Marian Sendin;;Marian;marian.sendin@gmail.com;http://www.mariansendin-fisioterapia.com;https://www.facebook.com/Fisioterapia-Marian-Sendin-378829025520911/;
