Nombre,Email,Web,Url
Restaurante Casa Urola,asaetxe1997@yahoo.es,http://www.casaurolajatetxea.es,https://www.facebook.com/RestauranteCasaUrola/
BAR SPORT,,http://www.barsportdonostisansebastian.blogspot.com,https://www.facebook.com/BarSportDonostia/
La Cuchara de San Telmo,,http://www.lacucharadesantelmo.com,https://www.facebook.com/La-Cuchara-de-San-Telmo-248266237271/
Atari,,https://atarigastroteka.com,https://www.facebook.com/atarigastroleku/
Baztan pinchos&bar,,http://Www.barbaztan.com,https://www.facebook.com/BaztanPinchosbar/
A Fuego Negro,jan@afuegonegro.com,http://www.afuegonegro.com,https://www.facebook.com/afuegonegro/
Borda Berri, aki se guisa,bordaberri@hotmail.es,,https://www.facebook.com/Borda-Berri-aki-se-guisa-148215661896984/
Ganbara Bar - Asador,,http://www.ganbarajatetxea.com,https://www.facebook.com/Ganbara-Bar-Asador-135364609826067/
Zazpi Bar-Restaurante,zazpibar@outlook.com,http://www.zazpigastrobar.com,https://www.facebook.com/zazpigastrobar/
Restaurante Rita,ritabyismaeliglesias@gmail.com,http://www.restauranterita.com,https://www.facebook.com/ritabyismaeliglesias/
Mesón Martín,,http://www.mesonmartin.com,https://www.facebook.com/MesonMartinDonostia/
Geralds Bar San Sebastian,info@geraldsbar.eu,http://geraldsbar.eu,https://www.facebook.com/GeraldsBarSanSebastian/
Restaurante ni neu,info@restaurantenineu.com,http://www.restaurantenineu.com,https://www.facebook.com/restaurantenineu/
Lobo,,http://www.lobodonosti.com,https://www.facebook.com/LoboDonostia/
Bar Aralar,,http://www.bararalar.com,https://www.facebook.com/BarAralarTaberna/
Restaurante MUNTO,restaurantemunto@gmail.com,http://muntobar-restaurante.com,https://www.facebook.com/BarRestauranteMunto/
El Pescaito de la Bahía de Cádiz,elpescaitodelabahiadecadiz@gmail.com,https://elpescaitodelabahiadecadiz.com,https://www.facebook.com/elpescaitodelabahiadecadiz/
Casa Senra Donostia Gros,,,https://www.facebook.com/casasenradonostia/
Mesón Portaletas,portaletas@mesonportaletas.com,http://mesonportaletas.com,https://www.facebook.com/meson.portaletas/
Bar Restaurante Hidalgo56,,http://www.hidalgo56.com,https://www.facebook.com/Bar-Restaurante-Hidalgo56-630293843678807/
Restaurante Ramuntxo Berri,info@ramuntxoberri.com,http://www.ramuntxoberri.com,https://www.facebook.com/RamuntxoBerri/
La Cepa,info@barlacepa.com,http://www.barlacepa.com,https://www.facebook.com/BarRestauranteLaCepa/
Bernardo Etxea,,http://www.bernardoetxea.com,https://www.facebook.com/Bernardo-Etxea-357518747674954/
Restaurante Bar Zumeltzegi,contacto@restaurantezumeltzegi.com,http://www.restaurantezumeltzegi.com,https://www.facebook.com/zumeltzegi/
Casa Bartolo Etxea,bartoloetxea@gmail.com,http://bartoloetxea.com,https://www.facebook.com/bartoloetxea/
,,,https://www.facebook.com/pages/Bar-Goiz-Argi/177054849089118/
Kukuarri,a.mendoza@nh-hotels.com,http://www.nh-hoteles.es/hotel/nh-collection-san-sebastian-aranzazu/restaurantes,https://www.facebook.com/kukuarri/
El CaserÍo San Sebastian,,http://www.restaurantecaserio.com,https://www.facebook.com/El-CaserÍo-San-Sebastian-267945303384052/
Cerveceria-Bar Pepe,info@barpepe.com,http://www.barpepe.com,https://www.facebook.com/Cerveceria-Bar-Pepe-398748566960478/
Bar Matalauva,kaixo@matalauvagros.es,http://www.matalauvagros.es,https://www.facebook.com/matalauvagros/
Capricho Bar Restaurante,reservas@capricho.com,http://www.caprichobar.com,https://www.facebook.com/barrestaurantecapricho/
Bar Desy,,,https://www.facebook.com/desybar/
Bar Arraun,,,https://www.facebook.com/arraundonostia/
Xarma Cook & Culture,,http://xarmacook.com,https://www.facebook.com/XarmaCookAndCulture/
Bar Haizea,barhaizeasansebastian@hotmail.com,,https://www.facebook.com/BarHaizea/
Xera Gastroteka,info@xeragastroteka.com,http://www.xeragastroteka.com,https://www.facebook.com/xeragastroteka/
BareBare,reservas@barebare.com,http://www.barebarejatetxea.com,https://www.facebook.com/BareBareSS/
Gamon14,info@gamon14.com,http://www.gamon14.com,https://www.facebook.com/Gamon14BR/
GU San Sebastián,reservas@gusansebastian.com,http://www.gusansebastian.com,https://www.facebook.com/gusansebastian/
BIZARGORRI TABERNA,bizargorri.herrera@gmail.com,http://www.bizargorritaberna.com,https://www.facebook.com/AitorBizargorri/
Lete Taberna Jatetxea,,,https://www.facebook.com/letetaberna/
Café Viena,,,https://www.facebook.com/Café-Viena-273116976071221/
,,,https://www.facebook.com/pages/Bardulia-Taberna/201897523707484/
Bar Vallés,,http://www.barvalles.com,https://www.facebook.com/barcasavalles/
Mendi,,http://barmendidonosti.es/?utm_source=tripadvisor&utm_campaign=BarMendi&utm_medium=tr-activation&utm_term=microsite,https://www.facebook.com/barmendigros/
Viura Bar,barviura@hotmail.com,,https://www.facebook.com/Viura-Bar-1423453781202540/
,,,https://www.facebook.com/pages/Taberna-Ttvn-Ttvn/1087031788051886/
Ashe Aia,,http://asherestauranteaya.com/?utm_source=tripadvisor&utm_campaign=asherestauranteaya&utm_medium=tr-activation&utm_term=microsite,https://www.facebook.com/restaurante.ashe.aia/
Txinparta Jatetxea,txinpartadonosti@gmail.com,http://www.txinparta.com,https://www.facebook.com/txinparta/
Xiri Donosti,xiridonosti@gmail.com,,https://www.facebook.com/XiriDonosti/
Bar San Marcial,,,https://www.facebook.com/BarSanMarcial/
Restaurante Egosari Bar,egosari@egosari.e.telefonica.net,https://www.egosari.es,https://www.facebook.com/Restaurante-Egosari-Bar-135958036602118/
Bar 13 Altza,,,https://www.facebook.com/Bar13Altza/
,,,https://www.facebook.com/pages/Nagusia-Lau-Bar/151054138275136/
,,,https://www.facebook.com/pages/%C3%91am-Donostia/819925308167313/
GORA BERA,,,https://www.facebook.com/GORABERARESTAURANTE/
Bully,,http://www.vamosalbully.com,https://www.facebook.com/Vamosalbully/
Pagaditaberna,,http://www.pagaditaberna.es,https://www.facebook.com/Pagaditaberna-1442536569350507/
Bar/Restaurante Kiki,,,https://www.facebook.com/kikidonosti/
,,,https://www.facebook.com/pages/La-Taberna-De-Aitor-Egia/128645884446556/
,,,https://www.facebook.com/pages/Caf%C3%A9-De-La-Concha/896859637129952/
,,,https://www.facebook.com/pages/Bar-Gorriti/162381080471088/
BSiete Gros,bsietegros@gmail.com,,https://www.facebook.com/BSieteBar/
,,,https://www.facebook.com/pages/Bideluze/152536368127835/
Sardexka Taberna,,,https://www.facebook.com/Sardexka-Taberna-359370591159835/
LA CEPA,,http://www.barlacepa.com,https://www.facebook.com/LA-CEPA-67166102467/
,,,https://www.facebook.com/pages/Kok/430922237012169/
Irrintzi Taberna,irrintzierrenteria@gmail.com,,https://www.facebook.com/Irrintzi-Taberna-1521268774809862/
Café Restaurante Kostalde,kostalde@telefonica.net,http://www.kostalde.com,https://www.facebook.com/CafeRestauranteKostalde/
Ekarri Taberna,ekarritaberna@gmail.com,http://ekarritaberna.com,https://www.facebook.com/EkarriTaberna/
Sport K,,https://twitter.com/Sportk14,https://www.facebook.com/2014SportK.donostia/
Burger Kaizoku Taberna,kaizoku@hotmail.es,,https://www.facebook.com/Burger-Kaizoku-Taberna-228746713983156/
Rojo y Negro,rojoynegrodonosti@gmail.com,http://www.rojoynegrodonosti.es,https://www.facebook.com/RojoyNegroDonosti/
Tick Tack bar,,,https://www.facebook.com/TickTackBar/
Sagartxo Taberna,tabernasagartxo@gmail.com,https://sagartxotaberna.wordpress.com,https://www.facebook.com/Sagartxo-Taberna-1588267918151790/
Restaurante Sidreria Gabiria,restaurantegabiria@hotmail.com,http://restaurantegabiria.com,https://www.facebook.com/RestauranteGabiria/
La Rebotika,info@larebotika.es,http://www.larebotika.es,https://www.facebook.com/LaRebotikaDonostia/
Bar Avenida,,,https://www.facebook.com/Bar-Avenida-546085755555592/
Restaurante ikaitz,info@restauranteikaitz.com,http://Www.restauranteikaitz.com,https://www.facebook.com/restauranteikaitz/
,,,https://www.facebook.com/pages/Bar-Txirrita-Amara/356943364380316/
,,,https://www.facebook.com/pages/Bar-Bikain-Jatetxea-Ergobia/370953966652533/
Gure Arkupe,,,https://www.facebook.com/Gure-Arkupe-421195134643997/
Aspaldiko,,http://aspaldiko.placestars.com,https://www.facebook.com/AspaldikoAntiguo/
Bar Izarraitz Donostia, el único bar de la c/Prim,demiguelesnaolasl@gmail.com,,https://www.facebook.com/Bar-Izarraitz-Donostia-el-único-bar-de-la-cPrim-1422786554612078/
Restaurante novoa,,http://restaurantenovoa.com,https://www.facebook.com/RestauranteNovoa/
,,,https://www.facebook.com/pages/Esparru-Bar/179049915565749/
La Venta de Curro,laventadecurro@gmail.com,https://www.laventadecurro.com.es,https://www.facebook.com/VentadeCurro/
Astelena 1960,astelena1960@yahoo.es,http://astelena148.com,https://www.facebook.com/Astelena-1960-345825518943317/
,,,https://www.facebook.com/pages/Bar-Baraka/504823066206943/
TXaPeLa TaBeRNa,txapelataberna@gmail.com,,https://www.facebook.com/TxapelaTaberna/
Restaurante Larún,,http://www.restaurantelarun.com,https://www.facebook.com/restaurantelarunirun/
Joxe Mari Taberna,,,https://www.facebook.com/TabernaJoxeMari/
,,,https://www.facebook.com/pages/Bar-Iraeta/138630882857305/
Bar Hogar del Jubilado Bidebieta - Guardaplata,,,https://www.facebook.com/BarHogarDelJubiladoBidebietaGuardaplata/
Irrintzi taberna,,,https://www.facebook.com/irrintzitaber/
BAR Ainhoa,bar.ainhoa@hotmail.com,,https://www.facebook.com/bar.ainhoa/
Karrakuka,,,https://www.facebook.com/Karrakuka-481624978629580/
Sidrería Salaberría Sagardotegia,info@sidreriasalaberria.com,http://www.sidreriasalaberria.com,https://www.facebook.com/SidreriaSalaberria/
Grupo Garrancho,reservas@grupogarrancho.com,http://www.grupogarrancho.com,https://www.facebook.com/GrupoGarrancho/
Viña del Mar Café,vinadelmarlasarte@gmail.com,,https://www.facebook.com/Viña-del-Mar-Café-1495054280784338/
Taberna Izurde,,,https://www.facebook.com/barizurde/
Bar Alkain,,,https://www.facebook.com/Bar-Alkain-1476903559255590/
NewVersalles,,,https://www.facebook.com/NewVersalles-1807151582667837/
Bar Trueba,bartrueba13@gmail.com,,https://www.facebook.com/bartrueba/
,,,https://www.facebook.com/pages/bar-Paco-Bueno/135466426510455/
,,,https://www.facebook.com/pages/Bar-Borroto/1431214187183737/
Tracamundana,ebeitia@kbogourmand.com,http://www.tracamundana.com,https://www.facebook.com/Latracamundana/
,,,https://www.facebook.com/pages/Bar-El-Doble/153103151565123/
Itxasne Taberna,,,https://www.facebook.com/BARITXASNE/
Bar Txistu,,,https://www.facebook.com/Bar-Txistu-769003716500857/
Cervecería Duit Garagardotegia,duitgaragardotegia@gmail.com,,https://www.facebook.com/CerveceriaDuit/
O' Fardel,,,https://www.facebook.com/O-Fardel-712016092164305/
,,,https://www.facebook.com/pages/Takatak-BAR/413450412388658/
Etxe- Nagusi Berri,etxenagusi4@gmail.com,http://www.etxenagusi.com,https://www.facebook.com/etxenagusiberri/
Maritxu Taberna,,,https://www.facebook.com/Maritxu-Taberna-309576269245280/
Sidi-Kauki,,,https://www.facebook.com/Sidi-Kauki-504126999706454/
Bar solairu,,,https://www.facebook.com/barsolairu/
,,,https://www.facebook.com/pages/Restaurante-Portuetxe/199115116891581/
BODEGA TXIKOTE,pedroeusebio@hotmail.com,,https://www.facebook.com/BodegaTxikote/
